StudentID,StudentName,StudentSurname,StudentEmail,StudentDOB,StudentGender,StudentReg
1,Cad,Hafner,Youlanda@sjhs.newport.sch.uk,12/02/2010,Male,7C
2,Paulie,Bullan,Carleen@sjhs.newport.sch.uk,06/04/2006,Female,10B
3,Boony,Valentinetti,Jacquetta@sjhs.newport.sch.uk,02/03/2010,Male,10A
4,Alvin,Hearnah,Maria@sjhs.newport.sch.uk,17/05/2007,Male,10B
5,Ahmed,Savins,Denny@sjhs.newport.sch.uk,30/01/2010,Male,8C
6,Allissa,Leve,Stephan@sjhs.newport.sch.uk,27/05/2010,Female,12A
7,Maynord,Keyse,Silva@sjhs.newport.sch.uk,06/11/2010,Male,10B
8,Dorry,Grundle,Chante@sjhs.newport.sch.uk,13/11/2009,Female,11C
9,Wendeline,Fitzpayn,Robbie@sjhs.newport.sch.uk,30/05/2009,Female,13A
10,Joete,Sherwin,John@sjhs.newport.sch.uk,14/06/2005,Female,13A
11,Derrik,Dewey,Rey@sjhs.newport.sch.uk,19/01/2009,Male,8A
12,Marietta,Andriss,Lenna@sjhs.newport.sch.uk,09/03/2007,Female,8A
13,Rodolphe,D'Hooge,Jasper@sjhs.newport.sch.uk,17/06/2006,Male,10A
14,Norbert,Slad,Nikita@sjhs.newport.sch.uk,27/03/2010,Male,11C
15,Stavro,Brandts,Skye@sjhs.newport.sch.uk,25/03/2007,Male,7A
16,Jard,Burbridge,Breana@sjhs.newport.sch.uk,04/04/2005,Male,12C
17,Aundrea,Verecker,Jade@sjhs.newport.sch.uk,11/02/2009,Female,12A
18,Dame,Bohler,Marlin@sjhs.newport.sch.uk,13/04/2005,Male,11A
19,Agata,Laxen,Dorie@sjhs.newport.sch.uk,25/10/2005,Female,12A
20,Barnie,Brody,Sebrina@sjhs.newport.sch.uk,21/09/2010,Male,7B
